,FSV,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval
167,0.5519044319219061,4,AQP3,199.27437334509113,0.8085051483423786,-12544.819981021741,-5.765379140088371,1.9720378766334061,SE,10408,4.875497848948713e-07,9.289333286947234e-06,0.005589962005615234,25126.641282124252,-16184.014710915339,3639.1947298935975,0.0,0.0
355,0.4583998592182135,4,PTPRC,199.27437334509113,1.176549803821284,-11250.46253033658,-2.8742582079492873,0.6724082851975401,SE,10408,5.988233872606472e-07,1.1339740825257101e-05,0.004640102386474609,22537.92638075393,-14877.63747066482,3627.174940328241,0.0,0.0
445,0.4801120030235115,4,WARS,199.27437334509113,1.078309049082212,-10303.521651138532,-6.226718298400651,1.822487584674515,SE,10408,5.745764253788552e-07,1.0789104496521134e-05,0.013585805892944336,20644.044622357833,-13927.588961641803,3624.067310503271,0.0,0.0
321,0.5269959203259642,4,MYLK,199.27437334509113,0.8937862231407885,-11932.237652445707,-3.0151589403349766,0.8803020554594613,SE,10408,6.19382940738549e-07,1.1654935956260763e-05,0.011008024215698242,23901.476624972183,-15546.543252425998,3614.305599980291,0.0,0.0
234,0.5833044136056673,4,DSP,199.27437334509113,0.7113767396764735,-12486.99542743274,-8.02567342670432,3.3266899348154437,SE,10408,5.776559076996797e-07,1.1311299283099362e-05,0.0037860870361328125,25010.99217494625,-16097.588688357204,3610.5932609244646,0.0,0.0
179,0.5153418016266323,4,CAV1,199.27437334509113,0.9365181853176393,-12445.171462448243,-3.116332468000121,0.9330620359365326,SE,10408,5.385561246790427e-07,1.0102532801926542e-05,0.01143503189086914,24927.344244977256,-16028.685760987491,3583.5142985392486,0.0,0.0
274,0.46679591708324186,4,IL2RG,199.27437334509113,1.1374765191470024,-11769.71641307967,-3.8663867886206447,0.9805703671961774,SE,10408,5.838364160126798e-07,1.1012034710282915e-05,0.00334930419921875,23576.43414624011,-15350.608882452623,3580.892469372953,0.0,0.0
149,0.539583169443225,4,ACTA2,199.27437334509113,0.849706262069856,-11429.171798052106,-3.322350564134856,0.9339623306011416,SE,10408,6.453867649650322e-07,1.2208812096925662e-05,0.003957033157348633,22895.344916184982,-14972.863233861332,3543.6914358092254,0.0,0.0
302,0.5042243783909944,4,LTB,199.27437334509113,0.979123222778198,-11489.536559442437,-3.041564051807396,0.8026580421842857,SE,10408,6.352278612328086e-07,1.1899647758444667e-05,0.005772113800048828,23016.074438965643,-15013.977269970406,3524.4407105279697,0.0,0.0
312,0.5330378450541473,4,MMP12,199.27437334509113,0.8723678719402835,-13694.170195779316,-4.765995369753918,1.6481643125650367,SE,10408,6.011107674614294e-07,1.1337065324838832e-05,0.007898092269897461,27425.3417116394,-17176.123197398498,3481.953001619182,0.0,0.0
223,0.5867610680559744,4,CXCL12,199.27437334509113,0.7013195778889088,-13201.964010373955,-0.5762778460724243,0.8381327815635108,SE,10408,5.825567785139718e-07,1.1451066636834349e-05,0.00454401969909668,26440.92934082868,-16641.126949227466,3439.162938853511,0.0,0.0
306,0.5251104870818916,4,LYZ,199.27437334509113,0.9005709010975476,-14423.284022037384,-4.038617132958537,1.479383630057844,SE,10408,6.149175407229914e-07,1.1563736998470764e-05,0.0074291229248046875,28883.569364155537,-17851.943416789094,3428.6593947517104,0.0,0.0
205,0.4522111672006208,4,CD9,199.27437334509113,1.2062794085260669,-9690.871611741954,-6.214497112078863,1.7317251467697319,SE,10408,6.466877224029266e-07,1.228925083038725e-05,0.005777835845947266,19418.744543564677,-13097.346318094103,3406.47470635215,0.0,0.0
386,0.4424807957652476,4,SOX17,199.27437334509113,1.2547044199881663,-12056.704331909848,-4.0263895202864415,1.0076000653357526,SE,10408,5.910571644059388e-07,1.1305729338338409e-05,0.004087924957275391,24150.409983900467,-15449.936286402022,3393.231954492174,0.0,0.0
235,0.4754151781958141,4,DST,199.27437334509113,1.0988001257953075,-9434.535942480512,-3.701689192692251,0.7965385847110755,SE,10408,5.90649392120131e-07,1.1105535178872137e-05,0.011255979537963867,18906.073205041794,-12824.663407500502,3390.1274650199903,0.0,0.0
182,0.5564688201808168,4,CCDC80,199.27437334509113,0.7937054151654966,-12523.4837149599,-1.3895544786365606,0.7256968036213867,SE,10408,5.528641377057132e-07,1.0567083398417515e-05,0.004877805709838867,25083.96875000057,-15871.203965030658,3347.720250070757,0.0,0.0
181,0.437099119119229,4,CCDC6,199.27437334509113,1.2824133186897912,-8142.718216136012,-5.508405367321242,1.3295786345149472,SE,10408,5.976783507038265e-07,1.1479926034025245e-05,0.006726741790771484,16322.437752352795,-11482.60149322317,3339.8832770871577,0.0,0.0
399,0.508979049543644,4,TCIM,199.27437334509113,0.960674225689308,-13281.562614944287,-5.130143860837712,1.665490632275424,SE,10408,5.599083500384569e-07,1.049284089614844e-05,0.004967212677001953,26600.126549969344,-16618.473465931977,3336.9108509876896,0.0,0.0
400,0.41992505764371996,4,TCL1A,199.27437334509113,1.375587870880914,-10830.838886438796,-2.3661180593780866,0.49485972836420833,SE,10408,6.013953080283437e-07,1.1735823426575172e-05,0.01801276206970215,21698.679092958362,-14157.986197438258,3327.147310999462,0.0,0.0
173,0.5236382827279604,4,C15orf48,199.27437334509113,0.9059025560914966,-12402.229357962471,-5.081738614005077,1.583861306566893,SE,10408,5.862124241252792e-07,1.1018936389198438e-05,0.003108978271484375,24841.460036005712,-15728.890146168305,3326.6607882058343,0.0,0.0
412,0.47283448797392336,4,TRAC,199.27437334509113,1.1102323230723925,-13428.52586669603,-3.700306791455484,1.098572905704206,SE,10408,6.371887979572185e-07,1.1990684376267515e-05,0.009975910186767578,26894.05305347283,-16740.379434592898,3311.8535678968674,0.0,0.0
150,0.5038212691524616,4,ACTG2,199.27437334509113,0.9807033732219684,-9269.960932781232,-3.6260390262580113,0.802024230315076,SE,10408,5.765032798317614e-07,1.0799346795530397e-05,0.004166841506958008,18576.923185643234,-12551.622346292832,3281.6614135115997,0.0,0.0
172,0.4493670436968075,4,BASP1,199.27437334509113,1.220216815217657,-11308.484579562028,-4.186705197013507,1.0162600770140868,SE,10408,5.91924919350665e-07,1.1268636508754398e-05,0.007086992263793945,22653.970479204825,-14573.693109805057,3265.2085302430296,0.0,0.0
276,0.4919821281069846,4,IL7R,199.27437334509113,1.02826649954025,-13186.766178386928,-3.300079215690015,1.0077364124724264,SE,10408,6.488338953809644e-07,1.2158080591941935e-05,0.0073468685150146484,26410.533676854626,-16446.536980651887,3259.7708022649585,0.0,0.0
200,0.41035763611638565,4,CD79B,199.27437334509113,1.4308766018384154,-10194.440223759748,-2.2321783601667926,0.4290218244324051,SE,10408,6.541215321850811e-07,1.2900576987338789e-05,0.004957914352416992,20425.881767600265,-13436.110178535382,3241.6699547756343,0.0,0.0
221,0.4383021540816254,4,CTTN,199.27437334509113,1.2761601414945938,-8683.357819125533,-5.43117355291313,1.3190889881045913,SE,10408,6.326525988615229e-07,1.2140021065619129e-05,0.009220123291015625,17403.716958331835,-11914.602222398482,3231.244403272949,0.0,0.0
