,C,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh,is_spatial,pattern_type,method
sim_g155,0.9982768342745492,0.3188853378012643,1.3395159586304278e-05,0.17808691767937318,0.17782217782217782,6.525237750074155e-06,0.3904718422056298,0.2568561312683267,0.2564742949358334,0,null,geary
sim_g253,0.9983194343130852,0.32305299391360126,1.3395159586304278e-05,0.35301123723888495,0.3696303696303696,6.933068577821987e-06,0.3907899119922596,0.39963536291194524,0.4168763567259807,0,null,geary
sim_g036,0.9983702588796712,0.3280544540024727,1.3395159586304278e-05,0.002459871229914533,0.005994005994005994,7.899236997627922e-06,0.39478177042969775,0.00785065286142936,0.017982017982017984,1,stripes,geary
sim_g296,0.9983885501614707,0.3298620642625504,1.3395159586304278e-05,0.159059594274165,0.15784215784215785,7.261541593669006e-06,0.39478177042969775,0.24194778064286235,0.23915478460933007,0,null,geary
sim_g224,0.9984711655750798,0.33807548858778924,1.3395159586304278e-05,0.34862229456028215,0.34465534465534464,6.473863151713746e-06,0.3992269028292537,0.3969602844505796,0.3961555685693617,0,null,geary
sim_g270,0.99848384347115,0.33934286740486563,1.3395159586304278e-05,0.4356825408728433,0.4405594405594406,6.896493653512071e-06,0.3992269028292537,0.4570096582582272,0.45891608391608396,0,null,geary
sim_g261,0.9985264635376139,0.3436167632073135,1.3395159586304278e-05,0.48138909396566454,0.4805194805194805,6.416995170235907e-06,0.4018582696604378,0.4911936638338598,0.48866387849438697,0,null,geary
sim_g293,0.9985328465319739,0.3442585843424417,1.3395159586304278e-05,0.2578137587521538,0.26973026973026976,6.6782403996590445e-06,0.4018582696604378,0.32474146225341394,0.3343763674342187,0,null,geary
sim_g179,0.9986166446828222,0.3527256425954206,1.3395159586304278e-05,0.4189474029253033,0.42957042957042957,6.961501473450819e-06,0.4054317730981846,0.4456887265162801,0.4558821460229911,0,null,geary
sim_g271,0.9986388233389908,0.3549790714678205,1.3395159586304278e-05,0.20295155215195881,0.2077922077922078,6.8599818660396585e-06,0.4064645856501761,0.27549984455017035,0.28207087030616446,0,null,geary
sim_g252,0.9987079949425903,0.36203947870835307,1.3395159586304278e-05,0.4846007269892419,0.4975024975024975,7.0054852995429e-06,0.4114084985322194,0.4911936638338598,0.4975024975024975,0,null,geary
sim_g061,0.9987426973209983,0.3655995232868521,1.3395159586304278e-05,0.4622062641381196,0.45554445554445555,6.85932875930308e-06,0.4138862527775684,0.47979889010877463,0.4712528850459885,1,gp,geary
sim_g197,0.998789736517633,0.3704436649906071,1.3395159586304278e-05,0.46828388559180045,0.45054945054945056,7.518359733169959e-06,0.4162288370680979,0.4827668923626809,0.4676983915738241,0,null,geary
sim_g250,0.9989176075456644,0.38371413081093514,1.3395159586304278e-05,0.3920675633662012,0.3806193806193806,6.919698970316165e-06,0.42589666373923246,0.43242745959507484,0.42606647084259025,0,null,geary
sim_g006,0.9989273079739426,0.38472665291110664,1.3395159586304278e-05,0.2070222518484381,0.2017982017982018,6.692218436328479e-06,0.42589666373923246,0.2797597997951866,0.276435892874249,1,stripes,geary
sim_g191,0.9990452114656231,0.3970942699851193,1.3395159586304278e-05,0.18492538091349625,0.1938061938061938,7.1343508109110304e-06,0.4374079084229253,0.2604582829767553,0.2716909258965333,0,null,geary
sim_g266,0.9991809132973202,0.41145729758770533,1.3395159586304278e-05,0.48935513364669636,0.4915084915084915,7.054705465815265e-06,0.44562162193614296,0.49179187781995015,0.49480720621660224,0,null,geary
