,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh,is_spatial,pattern_type,method
sim_g145,0.012387720634313319,0.00032095082152627796,1.3395159586304278e-05,5.669557550769255e-06,0.000999000999000999,8.057677010744445e-06,0.0015283372453632285,2.743334298759317e-05,0.0037936746797506294,1,stripes,moran
sim_g104,0.012292705960874008,0.000352918963167248,1.3395159586304278e-05,6.234722262687953e-06,0.000999000999000999,7.980448352810605e-06,0.0016543076398464751,2.9225260606349775e-05,0.0037936746797506294,1,stripes,moran
sim_g101,0.011955144666446555,0.0004919857466754163,1.3395159586304278e-05,5.571216781130595e-06,0.000999000999000999,7.381213742498982e-06,0.002270703446194229,2.743334298759317e-05,0.0037936746797506294,1,gp,moran
sim_g078,0.010654288223054371,0.0016429745138327734,1.3395159586304278e-05,8.348122484824749e-05,0.000999000999000999,8.107498876803556e-06,0.007468065971967152,0.00037379652917125746,0.0037936746797506294,1,stripes,moran
sim_g141,0.010363074471595322,0.002117730592406719,1.3395159586304278e-05,6.04699918292928e-05,0.000999000999000999,7.4434792200962056e-06,0.009482375786895758,0.0002748635992240582,0.0037936746797506294,1,gp,moran
sim_g040,0.010090615705622285,0.0026712110117879106,1.3395159586304278e-05,0.0001266427420950622,0.000999000999000999,7.73464278242607e-06,0.011784754463770194,0.0005506206178046183,0.0037936746797506294,1,hotspot,moran
sim_g030,0.009609969435319391,0.00397364202386008,1.3395159586304278e-05,0.00022217162427429216,0.000999000999000999,7.584345717403327e-06,0.017276704451565563,0.000925715101142884,0.0037936746797506294,1,gp,moran
sim_g048,0.00958471609010296,0.004055651463062415,1.3395159586304278e-05,0.00021738415973437952,0.001998001998001998,7.2431724384464665e-06,0.017381363413124636,0.0009185246185959698,0.006889662062075855,1,gp,moran
sim_g025,0.009314587081046799,0.005032409801076443,1.3395159586304278e-05,0.00032812507073243236,0.000999000999000999,7.812086691058512e-06,0.021234980547164013,0.0013484591947908178,0.0037936746797506294,1,gp,moran
sim_g114,0.009165115579192726,0.00565850937739476,1.3395159586304278e-05,0.0005515093507968416,0.001998001998001998,7.819995813832194e-06,0.023254148126279836,0.0021770105952506904,0.006889662062075855,1,gp,moran
sim_g137,0.008971524249637543,0.006571702336819807,1.3395159586304278e-05,0.0004505051112583258,0.000999000999000999,7.393257928070865e-06,0.026642036500620837,0.0018263720726688884,0.0037936746797506294,1,gp,moran
sim_g143,0.008904771721751017,0.0069155345329308116,1.3395159586304278e-05,0.0006831318471194336,0.000999000999000999,7.729469491379364e-06,0.027662138131723246,0.0026274301812285908,0.0037936746797506294,1,gp,moran
sim_g054,0.008799529098047069,0.007489925327427538,1.3395159586304278e-05,0.0009451899868925251,0.001998001998001998,7.99261617260426e-06,0.029565494713529754,0.0035349263683784014,0.006889662062075855,1,gp,moran
sim_g076,0.008768230490220739,0.007668665626374693,1.3395159586304278e-05,0.0006121264036355045,0.001998001998001998,7.3354180795045675e-06,0.02987791802483647,0.0023849080661123554,0.006889662062075855,1,hotspot,moran
sim_g152,0.008719494361209206,0.007954466676207583,1.3395159586304278e-05,0.0008985662665950134,0.003996003996003996,8.033785381722596e-06,0.030206835479269306,0.003412276961753216,0.012487512487512488,0,null,moran
sim_g068,0.008618262831949929,0.008578200343672071,1.3395159586304278e-05,0.0009544301194621685,0.000999000999000999,7.69474599125931e-06,0.032168251288770267,0.0035349263683784014,0.0037936746797506294,1,gp,moran
sim_g065,0.008510980456465323,0.009285653415897599,1.3395159586304278e-05,0.0014178634890227304,0.002997002997002997,7.934626232519083e-06,0.03439130894776888,0.004946035426823478,0.009667751603235474,1,gp,moran
sim_g125,0.00825834232261313,0.011156467904041345,1.3395159586304278e-05,0.002129875406238657,0.000999000999000999,8.07975456093653e-06,0.04032458278569161,0.00709958468746219,0.0037936746797506294,1,stripes,moran
sim_g098,0.008116175605286623,0.012347067838900716,1.3395159586304278e-05,0.002024620534049615,0.002997002997002997,7.954164400655685e-06,0.04384760369253896,0.00682456359792005,0.009667751603235474,1,stripes,moran
sim_g116,0.008107462718732842,0.012423487712886039,1.3395159586304278e-05,0.001991592813337495,0.001998001998001998,8.008555451559155e-06,0.04384760369253896,0.006789520954559642,0.006889662062075855,1,hotspot,moran
sim_g146,0.008044857188911857,0.012984737746333463,1.3395159586304278e-05,0.0022586368525621126,0.002997002997002997,7.94145950297029e-06,0.04510174278844328,0.007446055557897074,0.009667751603235474,1,stripes,moran
sim_g254,0.008034518037505448,0.01307950540864855,1.3395159586304278e-05,0.0012459727268939735,0.000999000999000999,7.029090947274171e-06,0.04510174278844328,0.004449902596049905,0.0037936746797506294,0,null,moran
sim_g057,0.007959863035777072,0.01378169624426917,1.3395159586304278e-05,0.0023586910570546626,0.002997002997002997,7.985748074331e-06,0.04649694222801682,0.007691383881699988,0.009667751603235474,1,stripes,moran
sim_g036,0.007958574829302621,0.013794092860978324,1.3395159586304278e-05,0.0012651968915913248,0.002997002997002997,6.928023312012194e-06,0.04649694222801682,0.004465400793851735,0.009667751603235474,1,stripes,moran
sim_g246,0.007850810860459011,0.014865755274986348,1.3395159586304278e-05,0.0029539400595218757,0.001998001998001998,8.29701700430291e-06,0.049552517583287825,0.009231062686005861,0.006889662062075855,0,null,moran
sim_g028,0.007810110387012287,0.015288735147629962,1.3395159586304278e-05,0.002727535437274775,0.005994005994005994,7.919132437876253e-06,0.05040242356361525,0.008613269801920342,0.017629429394135275,1,stripes,moran
sim_g074,0.007767095427539235,0.01574696237712425,1.3395159586304278e-05,0.002525585914031736,0.003996003996003996,7.606515460569232e-06,0.05134879036018778,0.00806038057669703,0.012487512487512488,1,gp,moran
sim_g227,0.007629021795537626,0.017298251491212446,1.3395159586304278e-05,0.0024927004730626035,0.002997002997002997,7.5580736455988715e-06,0.055800811261975634,0.008040969267943883,0.009667751603235474,0,null,moran
sim_g086,0.007397151022352783,0.020197046955631626,1.3395159586304278e-05,0.0036581462639094786,0.005994005994005994,7.439826431256335e-06,0.06341670255388115,0.011198406930335138,0.017629429394135275,1,stripes,moran
sim_g091,0.00737423303869419,0.020504733825754906,1.3395159586304278e-05,0.0058253970827749635,0.011988011988011988,8.663026299430314e-06,0.06341670255388115,0.01680403004646624,0.0324000324000324,1,hotspot,moran
sim_g032,0.00724626074180801,0.022296760319456377,1.3395159586304278e-05,0.004286529418945917,0.004995004995004995,7.461731657906343e-06,0.06825538873302972,0.012906118849474913,0.01529083161736223,1,hotspot,moran
sim_g128,0.0066448563692614385,0.0325808050576083,1.3395159586304278e-05,0.0089925093110087,0.007992007992007992,7.750887456596358e-06,0.09547661111732045,0.024979192530579723,0.02199635227158163,1,gp,moran
sim_g280,0.006634858654914019,0.03278030315028002,1.3395159586304278e-05,0.004345060012656554,0.007992007992007992,6.6660153898548985e-06,0.09547661111732045,0.012906118849474913,0.02199635227158163,0,null,moran
