,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh,is_spatial,pattern_type,method
sim_g071,0.13735263435030484,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.9432787649475888e-05,0.0,0.0,0.0011059051649457553,1,stripes,moran
sim_g012,0.13573202344569765,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.8980422646204606e-05,0.0,0.0,0.0011059051649457553,1,stripes,moran
sim_g114,0.13426064959845943,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.8787847050774782e-05,0.0,0.0,0.0011059051649457553,1,gp,moran
sim_g083,0.1320737921767701,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.968679840631937e-05,0.0,0.0,0.0011059051649457553,1,gp,moran
sim_g050,0.131182735887248,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.9624095378515104e-05,0.0,0.0,0.0011059051649457553,1,stripes,moran
sim_g058,0.12577353564223978,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,2.0637020725278758e-05,0.0,0.0,0.0011059051649457553,1,gp,moran
sim_g089,0.1226454589005083,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.952450971230496e-05,0.0,0.0,0.0011059051649457553,1,gp,moran
sim_g085,0.11966678638434984,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.7454674569770274e-05,0.0,0.0,0.0011059051649457553,1,stripes,moran
sim_g090,0.11362185550201909,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.5776259018442863e-05,0.0,0.0,0.0011059051649457553,1,stripes,moran
sim_g145,0.10942254413834769,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.6442526612062174e-05,0.0,0.0,0.0011059051649457553,1,stripes,moran
sim_g132,0.10797544589393704,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.607312290363238e-05,0.0,0.0,0.0011059051649457553,1,stripes,moran
sim_g148,0.10684406195258386,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.464736954328078e-05,0.0,0.0,0.0011059051649457553,1,stripes,moran
sim_g105,0.10663170591683567,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.6516027251787912e-05,0.0,0.0,0.0011059051649457553,1,stripes,moran
sim_g020,0.10323697628269533,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.585355123018752e-05,0.0,0.0,0.0011059051649457553,1,stripes,moran
sim_g009,0.09930065351512103,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.7021252761060595e-05,0.0,0.0,0.0011059051649457553,1,stripes,moran
sim_g059,0.09709743020534319,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.560427044663406e-05,0.0,0.0,0.0011059051649457553,1,stripes,moran
sim_g115,0.09501250936921164,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.543833940062011e-05,0.0,0.0,0.0011059051649457553,1,stripes,moran
sim_g144,0.0900001973332039,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.7095245585299504e-05,0.0,0.0,0.0011059051649457553,1,gp,moran
sim_g036,0.08790890186983061,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.4421185240168144e-05,0.0,0.0,0.0011059051649457553,1,stripes,moran
