,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh,is_spatial,pattern_type,method
sim_g142,0.05389776721242882,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.2163656173891549e-05,0.0,0.0,0.002038777548981631,1,gp,moran
sim_g135,0.053198855371925674,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.1821198218082055e-05,0.0,0.0,0.002038777548981631,1,gp,moran
sim_g145,0.05278309045645639,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.3536101872339153e-05,0.0,0.0,0.002038777548981631,1,stripes,moran
sim_g119,0.0523172517670028,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.1809898756857823e-05,0.0,0.0,0.002038777548981631,1,gp,moran
sim_g073,0.04975970876679723,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.1004367271584258e-05,0.0,0.0,0.002038777548981631,1,stripes,moran
sim_g014,0.04834859374581609,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.109217388100931e-05,0.0,0.0,0.002038777548981631,1,stripes,moran
sim_g096,0.0483277066128086,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.1306588714047016e-05,0.0,0.0,0.002038777548981631,1,gp,moran
sim_g059,0.04774661258710071,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.0873154786457148e-05,0.0,0.0,0.002038777548981631,1,stripes,moran
sim_g021,0.04674510987125616,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.1978039573254758e-05,0.0,0.0,0.002038777548981631,1,stripes,moran
sim_g058,0.04654696294163603,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.1362972106262041e-05,0.0,0.0,0.002038777548981631,1,gp,moran
sim_g025,0.046131458391200454,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.1149377666419564e-05,0.0,0.0,0.002038777548981631,1,gp,moran
sim_g139,0.045076217847817755,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.0870606660517871e-05,0.0,0.0,0.002038777548981631,1,gp,moran
sim_g104,0.04418199497282056,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.0927795604192698e-05,0.0,0.0,0.002038777548981631,1,stripes,moran
sim_g052,0.043773360270704845,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.051825939260903e-05,0.0,0.0,0.002038777548981631,1,gp,moran
sim_g050,0.043421283736276975,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.1083426729359407e-05,0.0,0.0,0.002038777548981631,1,stripes,moran
sim_g095,0.04264528455116046,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.1201953352745418e-05,0.0,0.0,0.002038777548981631,1,gp,moran
sim_g120,0.04255612625965868,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.0057111419882449e-05,0.0,0.0,0.002038777548981631,1,gp,moran
sim_g039,0.042508454579757965,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.0022934338178748e-05,0.0,0.0,0.002038777548981631,1,hotspot,moran
sim_g015,0.04250031026979421,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.1977391003547908e-05,0.0,0.0,0.002038777548981631,1,gp,moran
sim_g111,0.04174093760492322,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,9.561894180855254e-06,0.0,0.0,0.002038777548981631,1,stripes,moran
sim_g060,0.04070451384585925,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.1578515920568167e-05,0.0,0.0,0.002038777548981631,1,gp,moran
sim_g099,0.04043338752171495,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.096168228176213e-05,0.0,0.0,0.002038777548981631,1,gp,moran
sim_g054,0.039295325513256464,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,9.95732865754219e-06,0.0,0.0,0.002038777548981631,1,gp,moran
sim_g067,0.037256740019583685,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.0126088355455355e-05,0.0,0.0,0.002038777548981631,1,stripes,moran
sim_g062,0.03648113269135495,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.070239153790649e-05,0.0,0.0,0.002038777548981631,1,hotspot,moran
sim_g107,0.03525856395605219,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.0256964421224482e-05,0.0,0.0,0.002038777548981631,1,stripes,moran
sim_g075,0.03479947089769314,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.0493316504523283e-05,0.0,0.0,0.002038777548981631,1,gp,moran
sim_g108,0.03383996381569111,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.000068059988952e-05,0.0,0.0,0.002038777548981631,1,gp,moran
sim_g044,0.033681747462003316,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.0372515386017378e-05,0.0,0.0,0.002038777548981631,1,stripes,moran
sim_g125,0.033503761350034564,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.0531796111524927e-05,0.0,0.0,0.002038777548981631,1,stripes,moran
sim_g070,0.03278326670691426,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.0269706851100856e-05,0.0,0.0,0.002038777548981631,1,stripes,moran
sim_g072,0.032571476890363785,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,9.793852517951762e-06,0.0,0.0,0.002038777548981631,1,stripes,moran
sim_g003,0.03054986894590038,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,9.391527346473955e-06,0.0,0.0,0.002038777548981631,1,gp,moran
sim_g033,0.03036078214453204,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,9.066057842126557e-06,0.0,0.0,0.002038777548981631,1,stripes,moran
sim_g027,0.03013143504524191,1.1102230246251565e-16,1.3395159586304278e-05,0.0,0.000999000999000999,1.0000162570839712e-05,3.1720657846433045e-16,0.0,0.002038777548981631,1,gp,moran
sim_g112,0.029296149674821453,4.440892098500626e-16,1.3395159586304278e-05,0.0,0.000999000999000999,1.0344637274485115e-05,1.25685625429263e-15,0.0,0.002038777548981631,1,gp,moran
sim_g080,0.028786270223247975,1.4432899320127035e-15,1.3395159586304278e-05,0.0,0.000999000999000999,9.364930703269011e-06,4.0466072860169255e-15,0.0,0.002038777548981631,1,stripes,moran
sim_g048,0.02777250323199995,1.2989609388114332e-14,1.3395159586304278e-05,0.0,0.000999000999000999,9.29841865841141e-06,3.605678446947756e-14,0.0,0.002038777548981631,1,gp,moran
sim_g047,0.027769296515922155,1.3100631690576847e-14,1.3395159586304278e-05,0.0,0.000999000999000999,8.788969991889847e-06,3.605678446947756e-14,0.0,0.002038777548981631,1,stripes,moran
sim_g007,0.027720944069442352,1.454392162258955e-14,1.3395159586304278e-05,0.0,0.000999000999000999,9.6920273626862e-06,3.9665240788880597e-14,0.0,0.002038777548981631,1,gp,moran
sim_g030,0.02754344219111111,2.1094237467877974e-14,1.3395159586304278e-05,0.0,0.000999000999000999,9.636029135455225e-06,5.701145261588642e-14,0.0,0.002038777548981631,1,gp,moran
sim_g085,0.02550288890690494,1.3102852136626097e-12,1.3395159586304278e-05,0.0,0.000999000999000999,9.243849926753669e-06,3.509692536596276e-12,0.0,0.002038777548981631,1,stripes,moran
sim_g036,0.024916904984351795,4.054978575140922e-12,1.3395159586304278e-05,4.440892098500626e-16,0.000999000999000999,9.565594290615055e-06,1.0765429845506872e-11,1.1789979022568035e-15,0.002038777548981631,1,stripes,moran
sim_g129,0.024772882613736523,5.332068120367239e-12,1.3395159586304278e-05,9.992007221626409e-16,0.000999000999000999,9.769100406058628e-06,1.4031758211492735e-11,2.6294755846385284e-15,0.002038777548981631,1,stripes,moran
sim_g144,0.023970459712794993,2.384137332001046e-11,1.3395159586304278e-05,1.1102230246251565e-15,0.000999000999000999,9.006311966897785e-06,6.219488692176641e-11,2.8712664429960946e-15,0.002038777548981631,1,gp,moran
sim_g012,0.023600453148271108,4.681288690022711e-11,1.3395159586304278e-05,1.1102230246251565e-15,0.000999000999000999,8.912911709577207e-06,1.2106781094886321e-10,2.8712664429960946e-15,0.002038777548981631,1,stripes,moran
sim_g071,0.023515955616606604,5.453504314800739e-11,1.3395159586304278e-05,5.329070518200751e-15,0.000999000999000999,9.213366373216738e-06,1.398334439692497e-10,1.3548484368306995e-14,0.002038777548981631,1,stripes,moran
sim_g019,0.0231031784856782,1.1411627198754104e-10,1.3395159586304278e-05,3.3306690738754696e-15,0.000999000999000999,8.782761698267741e-06,2.9012611522256196e-10,8.540177112501204e-15,0.002038777548981631,1,gp,moran
sim_g103,0.021214757791460925,2.8545943386859562e-09,1.3395159586304278e-05,2.233768725545815e-13,0.000999000999000999,8.647433099854627e-06,7.196456316015016e-09,5.63134972826676e-13,0.002038777548981631,1,gp,moran
sim_g089,0.021163420853081955,3.1044100623489612e-09,1.3395159586304278e-05,7.620570841027074e-13,0.000999000999000999,9.060515303313098e-06,7.761025155872403e-09,1.9051427102567686e-12,0.002038777548981631,1,gp,moran
sim_g143,0.020414201346973006,1.0333343958279784e-08,1.3395159586304278e-05,1.3408163468398016e-12,0.000999000999000999,8.599515632869085e-06,2.561986105358624e-08,3.324338050016037e-12,0.002038777548981631,1,gp,moran
sim_g041,0.019008570051806915,8.837287424068307e-08,1.3395159586304278e-05,4.516054197267749e-12,0.000999000999000999,7.790493166558103e-06,2.1731034649348297e-07,1.1105051304756761e-11,0.002038777548981631,1,stripes,moran
sim_g079,0.018550604513308883,1.7241358929442896e-07,1.3395159586304278e-05,1.6956325232797553e-10,0.000999000999000999,8.790453217838981e-06,4.205209494986072e-07,4.102336749870376e-10,0.002038777548981631,1,stripes,moran
